query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg
1c.sql,91569977,4,company_type|info_type|movie_companies|movie_info_idx|title,5,62253403,19.0,1,ok,
1d.sql,30f2a62e,4,company_type|info_type|movie_companies|movie_info_idx|title,5,62253403,19.89,1,ok,
20a.sql,f8d43178,9,complete_cast|comp_cast_type|char_name|cast_info|keyword|kind_type|movie_keyword|name|title,9,340237115,324.2,1,ok,
20b.sql,5bf27ed4,9,complete_cast|comp_cast_type|char_name|cast_info|keyword|kind_type|movie_keyword|name|title,9,340237115,235.12,1,ok,
20c.sql,e5eb1499,9,complete_cast|comp_cast_type|char_name|cast_info|keyword|kind_type|movie_keyword|name|title,9,340237115,250.83,1,ok,
21a.sql,335022c9,8,company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,9,365042328,56.84,1,ok,
21b.sql,11c9f2e7,8,company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,9,365042328,51.13,1,ok,
21c.sql,8e1bd96d,8,company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,9,365042328,57.33,1,ok,
22a.sql,9da0cee7,10,company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,10,375962937,282.13,1,ok,
22b.sql,2738c0d8,10,company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,10,375962937,163.63,1,ok,
22c.sql,508652ef,10,company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,10,375962937,390.33,1,ok,
22d.sql,05afdd3c,10,company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,10,375962937,635.7,1,ok,
23a.sql,28316b91,10,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_keyword|title,11,365463009,160.94,1,ok,
23b.sql,ebfcac9b,10,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_keyword|title,11,365463009,110.59,1,ok,
23c.sql,fb992704,10,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_keyword|title,11,365463009,155.06,1,ok,
24a.sql,5fd8d117,11,aka_name|char_name|cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_keyword|name|role_type|title,12,670450630,373.28,1,ok,
24b.sql,580b1b96,11,aka_name|char_name|cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_keyword|name|role_type|title,12,670450630,88.32,1,ok,
25a.sql,2cfd5e4e,8,cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,8,616048378,236.39,1,ok,
25b.sql,28979637,8,cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,8,616048378,96.16,1,ok,
25c.sql,4c9a6361,8,cast_info|info_type|keyword|movie_info|movie_info_idx|movie_keyword|name|title,8,616048378,383.96,1,ok,
26a.sql,b96613a8,11,complete_cast|comp_cast_type|char_name|cast_info|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,11,351277734,259.53,1,ok,
26b.sql,76ec83a7,11,complete_cast|comp_cast_type|char_name|cast_info|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,11,351277734,159.57,1,ok,
26c.sql,892c9766,11,complete_cast|comp_cast_type|char_name|cast_info|info_type|keyword|kind_type|movie_info_idx|movie_keyword|name|title,11,351277734,342.29,1,ok,
27a.sql,16265c48,11,complete_cast|comp_cast_type|company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,11,365582680,51.0,1,ok,
27b.sql,9205eb46,11,complete_cast|comp_cast_type|company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,11,365582680,49.53,1,ok,
27c.sql,fe6f0495,11,complete_cast|comp_cast_type|company_name|company_type|keyword|link_type|movie_companies|movie_info|movie_keyword|movie_link|title,11,365582680,52.33,1,ok,
28a.sql,809a6fd1,13,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,12,376503289,514.38,1,ok,
28b.sql,d5679897,13,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,12,376503289,245.28,1,ok,
28c.sql,64a96015,13,complete_cast|comp_cast_type|company_name|company_type|info_type|keyword|kind_type|movie_companies|movie_info|movie_info_idx|movie_keyword|title,12,376503289,382.68,1,ok,
29a.sql,db832029,16,aka_name|complete_cast|comp_cast_type|char_name|cast_info|company_name|info_type|keyword|movie_companies|movie_info|movie_keyword|name|person_info|role_type|title,15,745082582,128.87,1,ok,
