query_file,query_hash,join_count,read_tables,n_tables,bytes_read,runtime_ms,rows_returned,status,error_msg,src_join_count,src_bytes_read
33a.sql,7db9696a,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|customer_demographics|store|web_page|inventory,14,122500656,30034.31,,error,Query interrupted,13,64723403
33b.sql,decbce39,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer|store|promotion|catalog_page|inventory,14,111124572,30002.7,,error,Query interrupted,13,64723403
33c.sql,a2fbd6d6,13,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|web_returns|catalog_returns|customer_demographics|household_demographics|customer_address|promotion|inventory,14,121687076,30027.92,,error,Query interrupted,13,64723403
3a.sql,829f756f,3,date_dim|item|warehouse|inventory,4,37146080,954.58,1,ok,,3,341699294
3b.sql,68be05be,3,date_dim|item|warehouse|inventory,4,37146080,985.6,1,ok,,3,341699294
3c.sql,f6046fb5,3,date_dim|item|warehouse|inventory,4,37146080,496.95,1,ok,,3,341699294
4a.sql,5747fa92,4,date_dim|item|warehouse|catalog_returns|inventory,5,38442683,580.28,1,ok,,4,56025513
4b.sql,5452b386,4,date_dim|item|warehouse|catalog_returns|inventory,5,38442683,571.33,1,ok,,4,56025513
4c.sql,65bd5f59,4,date_dim|item|warehouse|store_returns|inventory,5,39733706,1391.84,1,ok,,4,56025513
5a.sql,e4806dd6,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,30010.38,,error,Query interrupted,4,347927523
5b.sql,0e411856,4,date_dim|item|warehouse|store_returns|inventory,5,39733706,17488.78,1,ok,,4,347927523
5c.sql,382f3574,4,date_dim|item|warehouse|web_returns|inventory,5,37791947,9532.43,1,ok,,4,347927523
6a.sql,197ae8f7,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,30001.48,,error,Query interrupted,4,308293359
6b.sql,434dc280,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,30000.88,,error,Query interrupted,4,308293359
6c.sql,fa07dfec,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,30002.83,,error,Query interrupted,4,308293359
6d.sql,f97a9189,4,date_dim|item|warehouse|store_sales|inventory,5,74591332,30001.14,,error,Query interrupted,4,308293359
6e.sql,760e4d5e,4,date_dim|item|warehouse|web_returns|inventory,5,37791947,9163.81,1,ok,,4,308293359
6f.sql,7754954b,4,date_dim|item|warehouse|catalog_returns|inventory,5,38442683,8816.58,1,ok,,4,308293359
7a.sql,82b81860,7,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|catalog_returns|inventory,8,98657233,30039.94,,error,Query interrupted,7,378676288
7b.sql,cca9418c,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|inventory,8,70632621,30021.27,,error,Query interrupted,7,378676288
7c.sql,20af8dac,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|catalog_returns|inventory,8,71283357,30004.36,,error,Query interrupted,7,378676288
8a.sql,f0d87cde,6,date_dim|item|warehouse|store_sales|catalog_sales|store_returns|inventory,7,97360630,30017.28,,error,Query interrupted,6,327687351
8b.sql,8505881f,6,date_dim|item|warehouse|store_sales|store_returns|web_returns|inventory,7,77824825,30033.85,,error,Query interrupted,6,327687351
8c.sql,674e765f,6,date_dim|item|warehouse|store_sales|web_sales|store_returns|inventory,7,87250334,30004.45,,error,Query interrupted,6,327687351
8d.sql,8cb14169,6,date_dim|item|warehouse|catalog_sales|store_returns|web_returns|inventory,7,60561245,30019.88,,error,Query interrupted,6,327687351
9a.sql,5c007285,7,date_dim|item|warehouse|store_sales|web_sales|catalog_sales|store_returns|inventory,8,107432006,30007.76,,error,Query interrupted,7,359090741
9b.sql,928de7e4,7,date_dim|item|warehouse|store_sales|web_sales|store_returns|catalog_returns|inventory,8,88546937,30012.93,,error,Query interrupted,7,359090741
9c.sql,728bf851,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|web_returns|inventory,8,70632621,30014.59,,error,Query interrupted,7,359090741
9d.sql,bb3ddde8,7,date_dim|item|warehouse|web_sales|catalog_sales|store_returns|catalog_returns|inventory,8,71283357,30049.19,,error,Query interrupted,7,359090741
fkindexes.sql,1ece878a,0,inventory,1,35235000,4.96,1,ok,,0,0
schema.sql,1ece878a,0,inventory,1,35235000,9.11,1,ok,,0,0
