experiment,query_file,cpu_time_ms_T,cpu_time_ms_Tprime,q_error_cpu_time,bytes_scanned_T,bytes_scanned_Tprime,q_error_bytes_scanned
imdb_to_tpcds,8a.sql,136.31,9.95,13.699,327687351.0,59915858.0,5.469
imdb_to_tpcds,8b.sql,125.34,13.18,9.51,327687351.0,60224355.0,5.441
imdb_to_tpcds,8c.sql,435.41,364.73,1.194,327687351.0,42930309.0,7.633
imdb_to_tpcds,9a.sql,379.0,37.49,10.109,359090741.0,106773080.0,3.363
imdb_to_tpcds,9b.sql,237.85,16.78,14.175,359090741.0,70736247.0,5.076
imdb_to_tpcds,9d.sql,359.04,23.12,15.529,359090741.0,50864059.0,7.06
imdb_to_tpch,10a.sql,951.84,144.6,6.583,302432232.0,139422015.0,2.169
imdb_to_tpch,10b.sql,384.52,113.16,3.398,302432232.0,136872015.0,2.21
imdb_to_tpch,10c.sql,3626.0,96.43,37.602,302432232.0,136972015.0,2.208
imdb_to_tpch,12a.sql,326.91,100.28,3.26,361317773.0,139572015.0,2.589
imdb_to_tpch,12b.sql,689.06,156.18,4.412,361317773.0,139572015.0,2.589
imdb_to_tpch,12c.sql,368.87,142.81,2.583,361317773.0,139572015.0,2.589
imdb_to_tpch,13a.sql,334.45,101.07,3.309,361317787.0,139572015.0,2.589
imdb_to_tpch,13b.sql,546.26,138.54,3.943,361317787.0,139572015.0,2.589
imdb_to_tpch,13c.sql,336.72,162.88,2.067,361317787.0,139572015.0,2.589
imdb_to_tpch,13d.sql,439.62,146.71,2.997,361317787.0,139572015.0,2.589
imdb_to_tpch,14a.sql,260.43,138.4,1.882,352739927.0,139572015.0,2.527
imdb_to_tpch,14b.sql,165.01,127.89,1.29,352739927.0,139572015.0,2.527
imdb_to_tpch,14c.sql,386.38,132.48,2.917,352739927.0,139572015.0,2.527
imdb_to_tpch,16a.sql,386.35,110.63,3.492,342332477.0,139572015.0,2.453
imdb_to_tpch,16b.sql,4210.22,102.83,40.943,342332477.0,139572015.0,2.453
imdb_to_tpch,16c.sql,1119.75,110.49,10.134,342332477.0,139572015.0,2.453
imdb_to_tpch,16d.sql,822.71,104.29,7.889,342332477.0,139572015.0,2.453
imdb_to_tpch,17a.sql,1878.87,130.85,14.359,331516361.0,136872015.0,2.422
imdb_to_tpch,17b.sql,3880.23,92.77,41.826,331516361.0,139571995.0,2.375
imdb_to_tpch,17c.sql,4117.44,177.21,23.235,331516361.0,136972015.0,2.42
